Crop_Type,Soil_Type,Region,Season,Irrigation,Fertilizer,Rainfall,Temperature,Humidity,Nitrogen,Yield
Cotton,Clay,North,Kharif,Drip,Organic,163.4,21.9,69.3,51,5.74
Maize,Silty,South,Rabi,Sprinkler,Chemical,114.2,26.5,60.8,,5.15
Maize,Sandy,North,Kharif,Flood,Chemical,112,26.8,65.6,63,2.78
Sugarcane,Silty,West,Zaid,Drip,Organic,106.3,26,99.4,83,4.98
Wheat,Silty,East,Rabi,Drip,Mixed,57.9,28.8,70.2,51,4.48
Maize,Silty,West,Rabi,Sprinkler,Mixed,175,29.5,73.4,101,6.69
Maize,Silty,West,Rabi,Sprinkler,Organic,107.5,28.6,59.5,48,4.64
Maize,Clay,South,Zaid,Sprinkler,Organic,101.9,26.3,80.2,115,5.52
Sugarcane,Clay,North,Kharif,Sprinkler,Organic,88.7,24.1,77.1,94,4.28
Rice,Clay,West,Kharif,Drip,Mixed,,31.4,77.2,67,5.04
Sugarcane,Loamy,South,Rabi,Drip,Organic,191.7,28.4,70.6,69,6.26
Rice,Sandy,North,Zaid,Drip,Mixed,203.3,,,95,7.32
Maize,Sandy,West,Rabi,Drip,Mixed,71.9,26.2,83.3,47,4.55
Maize,Silty,West,Zaid,Flood,Chemical,117.6,20,71.4,97,5.56
Sugarcane,Loamy,South,Rabi,Flood,Chemical,93.8,27.1,66.6,84,5.96
Maize,Clay,West,Zaid,Sprinkler,Mixed,164.6,26.2,78.7,57,5.29
Rice,Loamy,North,Rabi,Drip,Mixed,140,,57.2,111,5.1
Wheat,Silty,North,Rabi,Sprinkler,Organic,107.7,33.3,59.4,90,5.61
Rice,Clay,South,Kharif,Flood,Organic,132.5,22.4,67.4,53,5.01
Sugarcane,Loamy,East,Rabi,Drip,Chemical,113.3,29.8,47.1,92,5.85
Wheat,,North,Rabi,Sprinkler,Organic,186.5,35.7,77.9,72,4.96
Sugarcane,Silty,North,Kharif,Sprinkler,Organic,149.1,31.3,56.4,101,7.56
Maize,Silty,East,Rabi,Drip,Mixed,153.4,26.9,,79,6.45
Wheat,Loamy,West,Kharif,Sprinkler,Chemical,36.7,22.5,65.4,119,4.57
Rice,Clay,East,Zaid,Sprinkler,Chemical,127.7,21.6,68.5,114,5.29
Maize,Loamy,West,Rabi,Sprinkler,Organic,202.9,25.4,63.9,43,6.72
Rice,Clay,West,Kharif,Flood,Organic,,24.3,67.2,72,5.12
Wheat,Sandy,East,Rabi,Sprinkler,Organic,65.4,24.1,67.3,56,5.82
Cotton,Clay,East,Kharif,Drip,Chemical,,25.7,62.6,76,4.78
Cotton,Loamy,West,Rabi,,Organic,87.9,26.6,58.7,51,5.7
Wheat,Sandy,South,Rabi,,Chemical,189.9,28.9,81,,6.28
Rice,Loamy,North,Rabi,Flood,Organic,138.5,22,42.7,52,6.23
Rice,Loamy,West,Zaid,Drip,Chemical,103.1,24.3,65.5,89,4.66
Cotton,Loamy,South,Rabi,Drip,Chemical,131.2,26.4,62.4,76,5.49
Cotton,,West,Zaid,,Organic,38.7,26.2,73,119,5.58
Cotton,Clay,South,Zaid,Sprinkler,Chemical,92,34.3,50.5,110,5.89
Sugarcane,Silty,West,Kharif,Drip,Organic,131.3,27.9,62,88,6.58
Cotton,Silty,North,Rabi,Drip,Organic,159.6,20.5,66.8,75,5.31
Rice,Loamy,East,Zaid,Sprinkler,Mixed,62.1,28.7,80.8,97,4.89
Wheat,Loamy,South,Zaid,Sprinkler,Mixed,116.7,29.2,72,93,6.54
Cotton,Clay,South,Rabi,Sprinkler,Chemical,165.3,26.5,53.8,51,4.92
Sugarcane,Sandy,South,Zaid,Drip,Mixed,79.2,22.1,62.2,70,4.9
Sugarcane,Sandy,West,Zaid,Sprinkler,Chemical,138,34,78.6,119,6.06
